Starting time: 06/15/2022, 10:49:25
args: Namespace(config=['config/dblp_homo.json'], method='CTGCN-C', task='preprocessing')
data/dblp_homo
1.format
start generate k core graph!
getting k-core sub-graphs for all timestamps...
unique core nums:  11
file name:  00.csv max core num:  11
got it...
finish generate k core graph! cost time: 4.237665891647339 seconds!
start generate walk info!
perform random walk for all file(s)...
f_name =  00.csv
random walk time:  43.202693462371826  seconds!
node freq time:  0.3591578006744385  seconds!
walk pair time:  1.1157276630401611  seconds!
random walk tot time 48.052053451538086  seconds!
finish generate walk info! cost time:  48.052213191986084  seconds.
finish CTGCN-C preprocessing! total cost time: 52.294445753097534  seconds!
Starting time: 06/15/2022, 10:49:25
Ending time: 06/15/2022, 10:50:17
Execution time: 0:00:52.298419
Starting time: 06/15/2022, 10:50:18
args: Namespace(config=['config/dblp_homo.json'], method='TgGCN', task='embedding')
{'base_path': 'data/dblp_homo', 'origin_folder': '1.format', 'embed_folder': '2.embedding/TgGCN', 'model_folder': 'CTGCN/model', 'model_file': 'gcn_tg', 'node_file': 'nodes_set/nodes.csv', 'file_sep': '\t', 'start_idx': 0, 'end_idx': -1, 'duration': 1, 'embed_dim': 128, 'use_cuda': True, 'thread_num': 30, 'epoch': 50, 'lr': 0.001, 'batch_size': 64, 'load_model': False, 'shuffle': True, 'export': True, 'record_time': False, 'feature_pre': True, 'feature_dim': 128, 'hid_dim': 128, 'layer_num': 2, 'dropout': 0.01, 'bias': True, 'weight_decay': 0.0005, 'learning_type': 'U-neg', 'walk_pair_folder': 'CTGCN/ctgcn_walk_pairs', 'node_freq_folder': 'CTGCN/ctgcn_node_freq', 'neg_num': 20, 'Q': 20, 'train_ratio': 0.4, 'val_ratio': 0.2, 'test_ratio': 0.4}
start_idx =  0 , end_idx =  1 , duration =  1
start TgGCN embedding!
idx =  0 , duration =  1
start learning embedding!
start unsupervised training!
epoch 1 , batch num =  48 , loss: 15.3438720703125 , cost time:  0.06369900703430176  seconds!
epoch 1 , batch num =  49 , loss: 15.020878791809082 , cost time:  0.060164451599121094  seconds!
epoch 1 , batch num =  50 , loss: 15.070923805236816 , cost time:  0.06082296371459961  seconds!
epoch 1 , batch num =  51 , loss: 15.062052726745605 , cost time:  0.06390905380249023  seconds!
epoch 1 , batch num =  52 , loss: 15.15904712677002 , cost time:  0.06261157989501953  seconds!
epoch 1 , batch num =  53 , loss: 15.205140113830566 , cost time:  0.05183005332946777  seconds!
epoch 1 , batch num =  54 , loss: 14.972886085510254 , cost time:  0.030634641647338867  seconds!
epoch 1 , batch num =  55 , loss: 15.44593334197998 , cost time:  0.02676105499267578  seconds!
epoch 1 , batch num =  56 , loss: 15.174936294555664 , cost time:  0.026654958724975586  seconds!
epoch 1 , batch num =  57 , loss: 15.135381698608398 , cost time:  0.07988333702087402  seconds!
epoch 1 , batch num =  58 , loss: 15.047460556030273 , cost time:  0.08740401268005371  seconds!
epoch 1 , batch num =  59 , loss: 15.005232810974121 , cost time:  0.04931187629699707  seconds!
epoch 1 , batch num =  60 , loss: 15.152385711669922 , cost time:  0.03665471076965332  seconds!
epoch 1 , batch num =  61 , loss: 14.96065616607666 , cost time:  0.06361007690429688  seconds!
epoch 1 , batch num =  62 , loss: 15.262872695922852 , cost time:  0.06167125701904297  seconds!
epoch 1 , batch num =  63 , loss: 15.010547637939453 , cost time:  0.06060910224914551  seconds!
epoch 1 , batch num =  64 , loss: 15.066956520080566 , cost time:  0.05934453010559082  seconds!
epoch 1 , batch num =  65 , loss: 15.114629745483398 , cost time:  0.05955219268798828  seconds!
epoch 1 , batch num =  66 , loss: 15.275896072387695 , cost time:  0.045027732849121094  seconds!
epoch 1 , batch num =  67 , loss: 15.266755104064941 , cost time:  0.03051161766052246  seconds!
epoch 1 , batch num =  68 , loss: 14.997785568237305 , cost time:  0.02674555778503418  seconds!
epoch 1 , batch num =  69 , loss: 15.04614543914795 , cost time:  0.025313377380371094  seconds!
epoch 1 , batch num =  70 , loss: 15.11375617980957 , cost time:  0.07766199111938477  seconds!
epoch 1 , batch num =  71 , loss: 15.165728569030762 , cost time:  0.08346724510192871  seconds!
epoch 1 , batch num =  72 , loss: 15.045222282409668 , cost time:  0.05683112144470215  seconds!
epoch 1 , batch num =  73 , loss: 15.365792274475098 , cost time:  0.037972211837768555  seconds!
epoch 1 , batch num =  74 , loss: 15.03646183013916 , cost time:  0.06373429298400879  seconds!
epoch 1 , batch num =  75 , loss: 15.10651683807373 , cost time:  0.06009793281555176  seconds!
epoch 1 , batch num =  76 , loss: 15.27785873413086 , cost time:  0.06079435348510742  seconds!
epoch 1 , batch num =  77 , loss: 15.071791648864746 , cost time:  0.06267642974853516  seconds!
epoch 1 , batch num =  78 , loss: 15.000271797180176 , cost time:  0.06287217140197754  seconds!
epoch 1 , batch num =  79 , loss: 15.016658782958984 , cost time:  0.051783084869384766  seconds!
epoch 1 , batch num =  80 , loss: 15.050420761108398 , cost time:  0.030955076217651367  seconds!
epoch 1 , batch num =  81 , loss: 15.255902290344238 , cost time:  0.026935577392578125  seconds!
epoch 1 , batch num =  82 , loss: 15.114046096801758 , cost time:  0.02627396583557129  seconds!
epoch 1 , batch num =  83 , loss: 15.152703285217285 , cost time:  0.07741212844848633  seconds!
epoch 1 , batch num =  84 , loss: 15.05370807647705 , cost time:  0.0833890438079834  seconds!
epoch 1 , batch num =  85 , loss: 15.071073532104492 , cost time:  0.055744171142578125  seconds!
epoch 1 , batch num =  86 , loss: 15.306208610534668 , cost time:  0.03790116310119629  seconds!
epoch 1 , batch num =  87 , loss: 15.041167259216309 , cost time:  0.0638875961303711  seconds!
epoch 1 , batch num =  88 , loss: 15.042289733886719 , cost time:  0.06183981895446777  seconds!
epoch 1 , batch num =  89 , loss: 15.10670280456543 , cost time:  0.06048727035522461  seconds!
epoch 1 , batch num =  90 , loss: 15.008323669433594 , cost time:  0.06177639961242676  seconds!
epoch 1 , batch num =  91 , loss: 15.228658676147461 , cost time:  0.05972647666931152  seconds!
epoch 1 , batch num =  92 , loss: 15.260758399963379 , cost time:  0.04512357711791992  seconds!
