method,k,operator,f1,micro_f1,macro_f1,recall,micro_recall,macro_recall,precision,micro_precision,macro_precision
GAT,2,HAD,0.39462517831389937,0.5140562248995985,0.39215606765995653,0.6708595387840671,0.6708595387840671,0.6666666666666666,0.279527537561146,0.4166666666666667,0.27777777777777773
GAT,3,HAD,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
GAT,1,AVG,0.198364433355857,0.3728222996515679,0.19651056014692378,0.33647798742138363,0.33647798742138363,0.3333333333333333,0.14063728380503146,0.41796875,0.13932291666666666
GAT,2,AVG,0.39462517831389937,0.5140562248995985,0.39215606765995653,0.6708595387840671,0.6708595387840671,0.6666666666666666,0.279527537561146,0.4166666666666667,0.27777777777777773
GAT,3,AVG,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
GAT,1,L1,0.3649372925196136,0.3704994192799071,0.36537576873397165,0.33438155136268344,0.33438155136268344,0.33514992319395703,0.41521429105955,0.4153645833333333,0.4151917541378198
GAT,2,L1,0.5158490422066846,0.5196787148594377,0.5161408227382148,0.6781970649895178,0.6781970649895178,0.6793786903563553,0.42248710885057567,0.4212239583333333,0.4224311290612401
GAT,3,L1,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
GAT,1,L2,0.3736561286351877,0.3832752613240418,0.3742757366010749,0.34591194968553457,0.34591194968553457,0.3469791236889443,0.4310236098155276,0.4296875,0.43099283464049315
GAT,2,L2,0.5231852019511243,0.5277108433734939,0.5235283168164876,0.6886792452830188,0.6886792452830188,0.6899271197351338,0.4281082041630294,0.427734375,0.4280928581025352
GAT,3,L2,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TgGCN,1,sigmoid,0.3225575240169215,0.3832752613240418,0.3217678492206974,0.34591194968553457,0.34591194968553457,0.34419685751558954,0.48058004588546493,0.4296875,0.48053674836858584
TgGCN,2,sigmoid,0.482285662213529,0.5132530120481928,0.4813094452249748,0.6698113207547169,0.6698113207547169,0.6672718717873294,0.4228171315574311,0.416015625,0.42295508198761805
TgGCN,3,sigmoid,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TgGCN,1,HAD,0.3173494531857001,0.37630662020905925,0.3166035084967885,0.33962264150943394,0.33962264150943394,0.3379598174403284,0.4559471075208892,0.421875,0.4560497581103132
TgGCN,2,HAD,0.4963202665623921,0.5212851405622491,0.49552116562500537,0.6802935010482181,0.6802935010482181,0.6779338820921756,0.43628091266535934,0.4225260416666667,0.43657877534806117
TgGCN,3,HAD,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TgGCN,1,AVG,0.198364433355857,0.3728222996515679,0.19651056014692378,0.33647798742138363,0.33647798742138363,0.3333333333333333,0.14063728380503146,0.41796875,0.13932291666666666
TgGCN,2,AVG,0.39462517831389937,0.5140562248995985,0.39215606765995653,0.6708595387840671,0.6708595387840671,0.6666666666666666,0.279527537561146,0.4166666666666667,0.27777777777777773
TgGCN,3,AVG,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TgGCN,1,L1,0.19103531390351747,0.36469221835075494,0.19346888478126925,0.32914046121593293,0.32914046121593293,0.3333333333333333,0.13457044898672257,0.4088541666666667,0.13628472222222224
TgGCN,2,L1,0.38729605886155977,0.508433734939759,0.3891143922943021,0.6635220125786163,0.6635220125786163,0.6666666666666666,0.2734607027428371,0.412109375,0.2747395833333333
TgGCN,3,L1,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TgGCN,1,L2,0.198364433355857,0.3728222996515679,0.19651056014692378,0.33647798742138363,0.33647798742138363,0.3333333333333333,0.14063728380503146,0.41796875,0.13932291666666666
