method,k,operator,f1,micro_f1,macro_f1,recall,micro_recall,macro_recall,precision,micro_precision,macro_precision
GCN,5,L2,0.46084193524724204,0.44594594594594594,0.44167144466818276,1.0,1.0,1.0,0.30338147647262464,0.28695652173913044,0.28695652173913044
GAT,1,sigmoid,0.15654760887550756,0.20807453416149066,0.17483943319184428,0.17654808959156784,0.17654808959156784,0.21018631384615763,0.310404373377412,0.2533081285444234,0.30089598297419523
GAT,2,sigmoid,0.2549483796369365,0.28948816730875065,0.2698674757131104,0.3465085638998682,0.3465085638998682,0.39680156256215765,0.3166323185173648,0.2485822306238185,0.299399649741695
GAT,3,sigmoid,0.37921440878239115,0.39300937766410904,0.36276776915871706,0.6073781291172595,0.6073781291172595,0.599380051710032,0.30858433444091,0.2904851921865154,0.2931227847891301
GAT,4,sigmoid,0.4424363248424157,0.44313043478260866,0.4198713330281481,0.839262187088274,0.839262187088274,0.8119010867863441,0.3105438523032099,0.30103969754253307,0.2950455218599396
GAT,5,sigmoid,0.46084193524724204,0.44594594594594594,0.44167144466818276,1.0,1.0,1.0,0.30338147647262464,0.28695652173913044,0.28695652173913044
GAT,1,HAD,0.06386869022116284,0.1956521739130435,0.07694656488549619,0.16600790513833993,0.16600790513833993,0.2,0.039540635250341835,0.2381852551984877,0.047637051039697544
GAT,2,HAD,0.13825670416036895,0.2773802971931756,0.16378653495127268,0.33201581027667987,0.33201581027667987,0.397254932382945,0.14423144390864984,0.2381852551984877,0.1647174259331937
GAT,3,HAD,0.24861934880061462,0.35720375106564367,0.26337553116011303,0.5520421607378129,0.5520421607378129,0.5934608326089057,0.1813089216289222,0.2640201638311279,0.1956008236548646
GAT,4,HAD,0.2997241359013869,0.3798260869565217,0.3268466468245169,0.7193675889328063,0.7193675889328063,0.8,0.19038581757411377,0.2580340264650284,0.2064272211720227
GAT,5,HAD,0.46084193524724204,0.44594594594594594,0.44167144466818276,1.0,1.0,1.0,0.30338147647262464,0.28695652173913044,0.28695652173913044
GAT,1,AVG,0.06386869022116284,0.1956521739130435,0.07694656488549619,0.16600790513833993,0.16600790513833993,0.2,0.039540635250341835,0.2381852551984877,0.047637051039697544
GAT,2,AVG,0.12865627979666333,0.27848101265822783,0.15438558927574006,0.3333333333333333,0.3333333333333333,0.4,0.07971139022343099,0.2391304347826087,0.09565217391304348
GAT,3,AVG,0.2421394321814175,0.3640238704177323,0.25338985670106007,0.5625823451910409,0.5625823451910409,0.6,0.15511654724279034,0.26906112161310647,0.16143667296786388
GAT,4,AVG,0.2997241359013869,0.3798260869565217,0.3268466468245169,0.7193675889328063,0.7193675889328063,0.8,0.19038581757411377,0.2580340264650284,0.2064272211720227
GAT,5,AVG,0.46084193524724204,0.44594594594594594,0.44167144466818276,1.0,1.0,1.0,0.30338147647262464,0.28695652173913044,0.28695652173913044
GAT,1,L1,0.24379760562343025,0.2437888198757764,0.22919116073771484,0.20685111989459815,0.20685111989459815,0.19418355209955523,0.29932132681371654,0.29678638941398866,0.2825248644932427
GAT,2,L1,0.37335405161564966,0.372041827187672,0.35090464631159557,0.4453227931488801,0.4453227931488801,0.4204914708633737,0.32412121106263214,0.31947069943289225,0.3042993864860614
GAT,3,L1,0.397760781945759,0.39300937766410904,0.3750182919738781,0.6073781291172595,0.6073781291172595,0.5794440220156036,0.29754107871717134,0.2904851921865154,0.2792951509535229
GAT,4,L1,0.4307826883859805,0.4201739130434783,0.4080755974134432,0.7957839262187089,0.7957839262187089,0.7747088316243131,0.297665169411103,0.28544423440453687,0.2792698568216032
GAT,5,L1,0.46084193524724204,0.44594594594594594,0.44167144466818276,1.0,1.0,1.0,0.30338147647262464,0.28695652173913044,0.28695652173913044
GAT,1,L2,0.2579366433946082,0.2593167701863354,0.2375240951948338,0.22002635046113306,0.22002635046113306,0.201477693970081,0.3145355254848114,0.31568998109640833,0.29231789526318275
GAT,2,L2,0.35581908351470914,0.35553109521188764,0.32980644963406225,0.42555994729907776,0.42555994729907776,0.39545372837023207,0.30873739631966274,0.3052930056710775,0.28635416019387316
GAT,3,L2,0.39501910762640646,0.3913043478260869,0.3696082309171083,0.6047430830039525,0.6047430830039525,0.5698585047808657,0.2948017287386458,0.2892249527410208,0.2752555040070316
GAT,4,L2,0.43005761605659076,0.4208695652173913,0.40720757583808787,0.7971014492753623,0.7971014492753623,0.7738159026439153,0.29649361799383517,0.28591682419659736,0.27832044888429447
GAT,5,L2,0.46084193524724204,0.44594594594594594,0.44167144466818276,1.0,1.0,1.0,0.30338147647262464,0.28695652173913044,0.28695652173913044
TgGCN,1,sigmoid,0.16624794972174795,0.22670807453416153,0.15821708104077398,0.19235836627140976,0.19235836627140976,0.20560171600696586,0.3940124680698393,0.27599243856332706,0.34646451466316114
TgGCN,2,sigmoid,0.27064933645191197,0.30820033021463944,0.2687823553878118,0.3689064558629776,0.3689064558629776,0.4043236921042671,0.3711724769771371,0.2646502835538752,0.3413328120127165
TgGCN,3,sigmoid,0.3309534368304371,0.3435635123614663,0.3366109946482891,0.530961791831357,0.530961791831357,0.6010147868733219,0.3639414318295555,0.25393824826717076,0.3314410438446315
TgGCN,4,sigmoid,0.4030576142818093,0.3951304347826088,0.39596098208463815,0.7483530961791831,0.7483530961791831,0.7968896250766129,0.3284329499505997,0.2684310018903592,0.30294850345025814
TgGCN,5,sigmoid,0.46084193524724204,0.44594594594594594,0.44167144466818276,1.0,1.0,1.0,0.30338147647262464,0.28695652173913044,0.28695652173913044
TgGCN,1,HAD,0.16703842994107235,0.22515527950310557,0.15876249038769608,0.19104084321475626,0.19104084321475626,0.2036015349951096,0.3963946289069442,0.2741020793950851,0.3531566189694269
TgGCN,2,HAD,0.27761228419709,0.30709961474958725,0.275313611066415,0.3675889328063241,0.3675889328063241,0.40109649608371994,0.3792769759882368,0.2637051039697543,0.3497107179152956
TgGCN,3,HAD,0.32881853527038923,0.340153452685422,0.33397559910516794,0.525691699604743,0.525691699604743,0.5939725890547429,0.3593042723944692,0.2514177693761815,0.32693780471183415
TgGCN,4,HAD,0.40561517437367006,0.39791304347826095,0.3980484569582592,0.7536231884057971,0.7536231884057971,0.8016808243797111,0.33844707335321356,0.27032136105860116,0.3101868348879905
TgGCN,5,HAD,0.46084193524724204,0.44594594594594594,0.44167144466818276,1.0,1.0,1.0,0.30338147647262464,0.28695652173913044,0.28695652173913044
TgGCN,1,AVG,0.1134831523847542,0.27018633540372666,0.09900426742532005,0.22924901185770752,0.22924901185770752,0.2,0.07540515701935936,0.32892249527410206,0.06578449905482041
TgGCN,2,AVG,0.17827074196025466,0.3313153549807375,0.17644329181556392,0.3965744400527009,0.3965744400527009,0.4,0.11557591199244852,0.2844990548204159,0.11379962192816635
TgGCN,3,AVG,0.2421394321814175,0.3640238704177323,0.25338985670106007,0.5625823451910409,0.5625823451910409,0.6,0.15511654724279034,0.26906112161310647,0.16143667296786388
TgGCN,4,AVG,0.2997241359013869,0.3798260869565217,0.3268466468245169,0.7193675889328063,0.7193675889328063,0.8,0.19038581757411377,0.2580340264650284,0.2064272211720227
TgGCN,5,AVG,0.46084193524724204,0.44594594594594594,0.44167144466818276,1.0,1.0,1.0,0.30338147647262464,0.28695652173913044,0.28695652173913044
TgGCN,1,L1,0.06478758957550049,0.1972049689440994,0.07743902439024389,0.1673254281949934,0.1673254281949934,0.2,0.040170754973089154,0.24007561436672967,0.04801512287334593
TgGCN,2,L1,0.12865627979666333,0.27848101265822783,0.15438558927574006,0.3333333333333333,0.3333333333333333,0.4,0.07971139022343099,0.2391304347826087,0.09565217391304348
TgGCN,3,L1,0.27177633689633346,0.3597612958226769,0.29089099420219766,0.5559947299077734,0.5559947299077734,0.6054090601757944,0.19070070671733463,0.2659105229993699,0.2046604744809771
TgGCN,4,L1,0.2997241359013869,0.3798260869565217,0.3268466468245169,0.7193675889328063,0.7193675889328063,0.8,0.19038581757411377,0.2580340264650284,0.2064272211720227
TgGCN,5,L1,0.46084193524724204,0.44594594594594594,0.44167144466818276,1.0,1.0,1.0,0.30338147647262464,0.28695652173913044,0.28695652173913044
TgGCN,1,L2,0.06478758957550049,0.1972049689440994,0.07743902439024389,0.1673254281949934,0.1673254281949934,0.2,0.040170754973089154,0.24007561436672967,0.04801512287334593
TgGCN,2,L2,0.12865627979666333,0.27848101265822783,0.15438558927574006,0.3333333333333333,0.3333333333333333,0.4,0.07971139022343099,0.2391304347826087,0.09565217391304348
TgGCN,3,L2,0.18624098351663274,0.3171355498721228,0.22784237939919688,0.4901185770750988,0.4901185770750988,0.6,0.11498066055475441,0.23440453686200377,0.14064272211720227
TgGCN,4,L2,0.2997241359013869,0.3798260869565217,0.3268466468245169,0.7193675889328063,0.7193675889328063,0.8,0.19038581757411377,0.2580340264650284,0.2064272211720227
TgGCN,5,L2,0.46084193524724204,0.44594594594594594,0.44167144466818276,1.0,1.0,1.0,0.30338147647262464,0.28695652173913044,0.28695652173913044
TgGAT,1,sigmoid,0.29276142038399483,0.29347826086956524,0.28667267203901203,0.2490118577075099,0.2490118577075099,0.24990574396924492,0.38049853571173087,0.3572778827977316,0.36112358324512944
