Starting time: 07/28/2022, 22:44:50
args: Namespace(config=['config/dblp_four_area_s.json'], task='embedding', method='DynAE')
{'base_path': 'data/dblp_four_area_s', 'origin_folder': '1.format', 'embed_folder': '2.embedding/DynAE', 'model_folder': 'CTGCN/model', 'model_file': 'dynae', 'node_file': 'nodes_set/nodes.csv', 'file_sep': '\t', 'start_idx': 1, 'end_idx': -1, 'duration': 2, 'embed_dim': 128, 'use_cuda': True, 'thread_num': 30, 'epoch': 50, 'lr': 0.001, 'batch_size': 128, 'load_model': False, 'shuffle': True, 'export': True, 'record_time': False, 'n_units': [500, 300], 'look_back': 1, 'beta': 5, 'nu1': 1e-06, 'nu2': 1e-06, 'bias': True}
start DynAE embedding!
idx =  1
start learning embedding!
start training!
epoch 1 , batch num =  60 , loss: 51.628536224365234 , cost time:  0.055390357971191406  seconds!
epoch 1 , batch num =  61 , loss: 58.24521255493164 , cost time:  0.05547213554382324  seconds!
epoch 1 , batch num =  62 , loss: 35.55939865112305 , cost time:  0.05541372299194336  seconds!
epoch 1 , batch num =  63 , loss: 38.668792724609375 , cost time:  0.05539345741271973  seconds!
epoch 1 , batch num =  64 , loss: 39.25223922729492 , cost time:  0.05546140670776367  seconds!
epoch 1 , batch num =  65 , loss: 52.413021087646484 , cost time:  0.055266618728637695  seconds!
epoch 1 , batch num =  66 , loss: 25.615333557128906 , cost time:  0.0552363395690918  seconds!
epoch 1 , batch num =  67 , loss: 32.62143325805664 , cost time:  0.05533170700073242  seconds!
epoch 1 , batch num =  68 , loss: 48.20209884643555 , cost time:  0.055526018142700195  seconds!
epoch 1 , batch num =  69 , loss: 61.10202407836914 , cost time:  0.05582761764526367  seconds!
epoch 1 , batch num =  70 , loss: 40.972713470458984 , cost time:  0.055713653564453125  seconds!
epoch 1 , batch num =  71 , loss: 48.82491683959961 , cost time:  0.05583834648132324  seconds!
epoch 1 , batch num =  72 , loss: 33.96549606323242 , cost time:  0.0552365779876709  seconds!
epoch 1 , batch num =  73 , loss: 39.796146392822266 , cost time:  0.05521059036254883  seconds!
epoch 1 , batch num =  74 , loss: 27.947311401367188 , cost time:  0.055648088455200195  seconds!
epoch 1 , batch num =  75 , loss: 34.6822624206543 , cost time:  0.05570840835571289  seconds!
epoch 1 , batch num =  76 , loss: 38.60695266723633 , cost time:  0.05580782890319824  seconds!
epoch 1 , batch num =  77 , loss: 45.27444076538086 , cost time:  0.055841684341430664  seconds!
epoch 1 , batch num =  78 , loss: 52.68958282470703 , cost time:  0.055722951889038086  seconds!
epoch 1 , batch num =  79 , loss: 43.267215728759766 , cost time:  0.05582070350646973  seconds!
epoch 1 , batch num =  80 , loss: 48.66868591308594 , cost time:  0.05540180206298828  seconds!
epoch 1 , batch num =  81 , loss: 29.59567642211914 , cost time:  0.05735301971435547  seconds!
epoch 1 , batch num =  82 , loss: 26.915224075317383 , cost time:  0.05524134635925293  seconds!
epoch 1 , batch num =  83 , loss: 44.14104080200195 , cost time:  0.05524802207946777  seconds!
epoch 1 , batch num =  84 , loss: 39.170841217041016 , cost time:  0.05528521537780762  seconds!
epoch 1 , batch num =  85 , loss: 51.24039840698242 , cost time:  0.05527234077453613  seconds!
epoch 1 , batch num =  86 , loss: 30.53904151916504 , cost time:  0.055238962173461914  seconds!
epoch 1 , batch num =  87 , loss: 49.15023422241211 , cost time:  0.05527186393737793  seconds!
epoch 1 , batch num =  88 , loss: 34.2222900390625 , cost time:  0.05522036552429199  seconds!
epoch 1 , batch num =  89 , loss: 41.78348159790039 , cost time:  0.05524325370788574  seconds!
